프로젝트,모블록번호,블록번호,stage,기능,a2,모듈,취부장_total,취부장_butt,취부장_fillet,용접장_total,용접장_butt,용접장_fillet,작업량,작업량_단위,심출_계량,취부_계량,용접_계량,사상_계량,기타_계량,total_계량,심출_기준,취부_기준,용접_기준,사상_기준,기타_기준,total_기준,원본파일명
SN1409,R87FA,R875G,30,D,HR875GSF0300,PXKFZNC,370.6,264.5,106.1,358.5,123.4,235.1,10,LOT,109.45,218.9,537.3,99.5,29.85,995,87.56,175.12,429.84,79.6,23.88,796.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,30,D,HR875GSF0300,GFYWIR,765.6,373.2,392.4,400.1,89.2,310.9,2,EA,71.83,143.66,352.62,65.3,19.59,653,57.46,114.93,282.1,52.24,15.67,522.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,30,D,HR875GSF0300,WDERP,810.0,420.5,389.5,360.8,116.5,244.3,52,EA,34.98,69.96,171.72,31.8,9.54,318,27.98,55.97,137.38,25.44,7.63,254.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,30,D,HR875GSF0300,JZNZWA,166.8,115.9,50.9,626.8,206.2,420.6,59,TON,99.33,198.66,487.62,90.3,27.09,903,79.46,158.93,390.1,72.24,21.67,722.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,30,D,HR875GSF0300,XQDDTO,652.1,219.2,432.9,720.5,448.2,272.3,63,M,91.85,183.7,450.9,83.5,25.05,835,73.48,146.96,360.72,66.8,20.04,668.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,40,D,HR875GSF0400,PXKFZNC,422.1,349.2,72.9,534.8,283.7,251.1,68,M,107.03,214.06,525.42,97.3,29.19,973,85.62,171.25,420.34,77.84,23.35,778.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,40,D,HR875GSF0400,XQDDTO,325.9,72.8,253.1,467.9,390.5,77.4,87,M,18.59,37.18,91.26,16.9,5.07,169,14.87,29.74,73.01,13.52,4.06,135.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,40,D,HR875GSF0400,GFYWIR,638.1,211.5,426.6,559.5,277.9,281.6,80,EA,15.4,30.8,75.6,14.0,4.2,140,12.32,24.64,60.48,11.2,3.36,112.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R875G,40,D,HR875GSF0400,JZNZWA,501.2,217.7,283.5,683.0,259.1,423.9,86,TON,33.99,67.98,166.86,30.9,9.27,309,27.19,54.38,133.49,24.72,7.42,247.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,30,D,HR876CSF0300,PXKFZNC,654.5,232.9,421.6,478.0,424.3,53.7,73,EA,80.96,161.92,397.44,73.6,22.08,736,64.77,129.54,317.95,58.88,17.66,588.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,30,D,HR876CSF0300,WDERP,214.6,79.3,135.3,579.4,156.1,423.3,32,TON,18.7,37.4,91.8,17.0,5.1,170,14.96,29.92,73.44,13.6,4.08,136.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,30,D,HR876CSF0300,GFYWIR,389.3,164.0,225.3,438.3,267.3,171.0,84,EA,101.86,203.72,500.04,92.6,27.78,926,81.49,162.98,400.03,74.08,22.22,740.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,30,D,HR876CSF0300,XQDDTO,588.9,317.1,271.8,514.1,422.7,91.4,18,TON,109.89,219.78,539.46,99.9,29.97,999,87.91,175.82,431.57,79.92,23.98,799.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,40,D,HR876CSF0400,GFYWIR,628.9,291.9,337.0,435.1,131.4,303.7,65,LOT,40.7,81.4,199.8,37.0,11.1,370,32.56,65.12,159.84,29.6,8.88,296.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,40,D,HR876CSF0400,XQDDTO,563.7,150.4,413.3,374.0,70.3,303.7,36,EA,104.39,208.78,512.46,94.9,28.47,949,83.51,167.02,409.97,75.92,22.78,759.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,40,D,HR876CSF0400,WDERP,409.8,51.4,358.4,459.6,304.8,154.8,57,LOT,94.49,188.98,463.86,85.9,25.77,859,75.59,151.18,371.09,68.72,20.62,687.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R876C,40,D,HR876CSF0400,PXKFZNC,369.1,274.4,94.7,754.4,428.0,326.4,70,EA,27.72,55.44,136.08,25.2,7.56,252,22.18,44.35,108.86,20.16,6.05,201.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,30,D,HR874LSF0300,JZNZWA,582.9,173.3,409.6,762.7,368.4,394.3,27,M,51.26,102.52,251.64,46.6,13.98,466,41.01,82.02,201.31,37.28,11.18,372.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,30,D,HR874LSF0300,XQDDTO,508.3,316.8,191.5,673.9,274.0,399.9,96,M,80.85,161.7,396.9,73.5,22.05,735,64.68,129.36,317.52,58.8,17.64,588.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,30,D,HR874LSF0300,WDERP,565.0,420.3,144.7,485.0,115.0,370.0,53,EA,30.91,61.82,151.74,28.1,8.43,281,24.73,49.46,121.39,22.48,6.74,224.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,30,D,HR874LSF0300,GFYWIR,541.5,121.7,419.8,577.7,363.0,214.7,95,M,86.35,172.7,423.9,78.5,23.55,785,69.08,138.16,339.12,62.8,18.84,628.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,30,D,HR874LSF0300,PXKFZNC,521.6,156.7,364.9,492.1,93.2,398.9,61,M,107.69,215.38,528.66,97.9,29.37,979,86.15,172.3,422.93,78.32,23.5,783.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,40,D,HR874LSF0400,WDERP,453.2,139.2,314.0,370.8,209.4,161.4,99,TON,18.81,37.62,92.34,17.1,5.13,171,15.05,30.1,73.87,13.68,4.1,136.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,40,D,HR874LSF0400,PXKFZNC,444.3,190.5,253.8,709.3,321.8,387.5,4,EA,48.29,96.58,237.06,43.9,13.17,439,38.63,77.26,189.65,35.12,10.54,351.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,40,D,HR874LSF0400,XQDDTO,555.3,400.8,154.5,725.6,282.2,443.4,14,LOT,15.29,30.58,75.06,13.9,4.17,139,12.23,24.46,60.05,11.12,3.34,111.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R874L,40,D,HR874LSF0400,GFYWIR,552.9,188.3,364.6,668.3,224.6,443.7,50,M,23.98,47.96,117.72,21.8,6.54,218,19.18,38.37,94.18,17.44,5.23,174.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,30,D,HR879WSF0300,GFYWIR,652.0,222.5,429.5,717.6,418.3,299.3,16,TON,85.69,171.38,420.66,77.9,23.37,779,68.55,137.1,336.53,62.32,18.7,623.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,30,D,HR879WSF0300,WDERP,569.6,252.8,316.8,509.4,180.5,328.9,17,M,73.37,146.74,360.18,66.7,20.01,667,58.7,117.39,288.14,53.36,16.01,533.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,30,D,HR879WSF0300,JZNZWA,644.3,218.2,426.1,732.0,320.9,411.1,73,TON,80.3,160.6,394.2,73.0,21.9,730,64.24,128.48,315.36,58.4,17.52,584.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,30,D,HR879WSF0300,PXKFZNC,595.9,212.4,383.5,305.6,171.5,134.1,75,TON,99.44,198.88,488.16,90.4,27.12,904,79.55,159.1,390.53,72.32,21.7,723.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,30,D,HR879WSF0300,XQDDTO,462.9,236.0,226.9,374.8,135.5,239.3,95,M,100.65,201.3,494.1,91.5,27.45,915,80.52,161.04,395.28,73.2,21.96,732.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,40,D,HR879WSF0400,GFYWIR,727.9,377.4,350.5,459.0,319.1,139.9,19,EA,33.33,66.66,163.62,30.3,9.09,303,26.66,53.33,130.9,24.24,7.27,242.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,40,D,HR879WSF0400,PXKFZNC,512.1,68.5,443.6,651.9,294.5,357.4,54,M,62.26,124.52,305.64,56.6,16.98,566,49.81,99.62,244.51,45.28,13.58,452.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,40,D,HR879WSF0400,WDERP,540.9,337.3,203.6,318.9,209.9,109.0,1,EA,88.44,176.88,434.16,80.4,24.12,804,70.75,141.5,347.33,64.32,19.3,643.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,40,D,HR879WSF0400,XQDDTO,498.9,361.4,137.5,700.0,371.6,328.4,7,M,63.25,126.5,310.5,57.5,17.25,575,50.6,101.2,248.4,46.0,13.8,460.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R879W,40,D,HR879WSF0400,JZNZWA,515.5,417.0,98.5,339.2,103.3,235.9,72,TON,70.73,141.46,347.22,64.3,19.29,643,56.58,113.17,277.78,51.44,15.43,514.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,30,D,HR872NSF0300,JZNZWA,587.4,347.5,239.9,302.6,153.7,148.9,36,LOT,82.72,165.44,406.08,75.2,22.56,752,66.18,132.35,324.86,60.16,18.05,601.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,30,D,HR872NSF0300,WDERP,460.5,300.7,159.8,245.3,81.0,164.3,43,TON,41.58,83.16,204.12,37.8,11.34,378,33.26,66.53,163.3,30.24,9.07,302.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,30,D,HR872NSF0300,PXKFZNC,489.4,407.2,82.2,313.5,110.3,203.2,91,M,28.16,56.32,138.24,25.6,7.68,256,22.53,45.06,110.59,20.48,6.14,204.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,30,D,HR872NSF0300,XQDDTO,288.7,75.7,213.0,483.3,267.0,216.3,54,LOT,34.21,68.42,167.94,31.1,9.33,311,27.37,54.74,134.35,24.88,7.46,248.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,30,D,HR872NSF0300,GFYWIR,695.5,411.9,283.6,720.9,328.2,392.7,74,LOT,97.13,194.26,476.82,88.3,26.49,883,77.7,155.41,381.46,70.64,21.19,706.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,40,D,HR872NSF0400,GFYWIR,609.2,265.3,343.9,779.0,369.9,409.1,29,TON,65.89,131.78,323.46,59.9,17.97,599,52.71,105.42,258.77,47.92,14.38,479.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,40,D,HR872NSF0400,PXKFZNC,285.9,224.3,61.6,506.2,184.5,321.7,93,M,56.54,113.08,277.56,51.4,15.42,514,45.23,90.46,222.05,41.12,12.34,411.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,40,D,HR872NSF0400,XQDDTO,804.0,386.2,417.8,705.9,442.3,263.6,76,EA,55.33,110.66,271.62,50.3,15.09,503,44.26,88.53,217.3,40.24,12.07,402.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,40,D,HR872NSF0400,WDERP,305.0,83.6,221.4,519.4,396.7,122.7,49,TON,40.26,80.52,197.64,36.6,10.98,366,32.21,64.42,158.11,29.28,8.78,292.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R872N,40,D,HR872NSF0400,JZNZWA,315.4,134.7,180.7,556.2,354.5,201.7,54,TON,95.7,191.4,469.8,87.0,26.1,870,76.56,153.12,375.84,69.6,20.88,696.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,30,D,HR871XSF0300,WDERP,640.0,450.0,190.0,672.6,310.1,362.5,6,EA,84.37,168.74,414.18,76.7,23.01,767,67.5,134.99,331.34,61.36,18.41,613.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,30,D,HR871XSF0300,GFYWIR,559.5,429.8,129.7,169.2,58.2,111.0,61,EA,25.19,50.38,123.66,22.9,6.87,229,20.15,40.3,98.93,18.32,5.5,183.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,30,D,HR871XSF0300,PXKFZNC,412.8,275.6,137.2,686.6,329.8,356.8,78,EA,29.81,59.62,146.34,27.1,8.13,271,23.85,47.7,117.07,21.68,6.5,216.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,30,D,HR871XSF0300,JZNZWA,476.6,361.1,115.5,455.9,174.4,281.5,74,LOT,46.09,92.18,226.26,41.9,12.57,419,36.87,73.74,181.01,33.52,10.06,335.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,40,D,HR871XSF0400,XQDDTO,499.5,328.9,170.6,695.9,323.7,372.2,73,EA,100.65,201.3,494.1,91.5,27.45,915,80.52,161.04,395.28,73.2,21.96,732.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,40,D,HR871XSF0400,GFYWIR,410.3,188.9,221.4,450.6,198.2,252.4,2,LOT,49.39,98.78,242.46,44.9,13.47,449,39.51,79.02,193.97,35.92,10.78,359.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,40,D,HR871XSF0400,PXKFZNC,471.1,378.9,92.2,738.5,434.3,304.2,59,M,104.28,208.56,511.92,94.8,28.44,948,83.42,166.85,409.54,75.84,22.75,758.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,40,D,HR871XSF0400,WDERP,567.7,224.2,343.5,594.2,436.2,158.0,69,LOT,101.97,203.94,500.58,92.7,27.81,927,81.58,163.15,400.46,74.16,22.25,741.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R871X,40,D,HR871XSF0400,JZNZWA,616.2,235.9,380.3,465.9,287.0,178.9,12,TON,38.61,77.22,189.54,35.1,10.53,351,30.89,61.78,151.63,28.08,8.42,280.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,30,D,HR878HSF0300,XQDDTO,451.9,61.5,390.4,257.5,122.7,134.8,34,TON,100.76,201.52,494.64,91.6,27.48,916,80.61,161.22,395.71,73.28,21.98,732.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,30,D,HR878HSF0300,WDERP,450.4,161.9,288.5,674.3,402.0,272.3,25,EA,69.19,138.38,339.66,62.9,18.87,629,55.35,110.7,271.73,50.32,15.1,503.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,30,D,HR878HSF0300,PXKFZNC,359.1,146.5,212.6,418.2,272.1,146.1,83,LOT,64.57,129.14,316.98,58.7,17.61,587,51.66,103.31,253.58,46.96,14.09,469.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,30,D,HR878HSF0300,JZNZWA,286.2,229.3,56.9,379.5,167.7,211.8,40,TON,38.39,76.78,188.46,34.9,10.47,349,30.71,61.42,150.77,27.92,8.38,279.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,30,D,HR878HSF0300,GFYWIR,501.7,239.3,262.4,568.6,220.2,348.4,46,LOT,48.18,96.36,236.52,43.8,13.14,438,38.54,77.09,189.22,35.04,10.51,350.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,40,D,HR878HSF0400,PXKFZNC,523.4,176.2,347.2,756.5,430.4,326.1,28,LOT,32.56,65.12,159.84,29.6,8.88,296,26.05,52.1,127.87,23.68,7.1,236.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,40,D,HR878HSF0400,JZNZWA,446.4,160.6,285.8,642.8,354.1,288.7,25,TON,22.22,44.44,109.08,20.2,6.06,202,17.78,35.55,87.26,16.16,4.85,161.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,40,D,HR878HSF0400,GFYWIR,262.8,141.0,121.8,319.4,55.7,263.7,6,EA,41.8,83.6,205.2,38.0,11.4,380,33.44,66.88,164.16,30.4,9.12,304.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,40,D,HR878HSF0400,WDERP,600.3,271.3,329.0,497.9,100.5,397.4,14,EA,66.22,132.44,325.08,60.2,18.06,602,52.98,105.95,260.06,48.16,14.45,481.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R878H,40,D,HR878HSF0400,XQDDTO,517.4,279.6,237.8,349.9,226.2,123.7,33,LOT,16.72,33.44,82.08,15.2,4.56,152,13.38,26.75,65.66,12.16,3.65,121.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,50,D,HR87FASF0500,GFYWIR,605.4,280.8,324.6,485.2,110.7,374.5,11,M,45.21,90.42,221.94,41.1,12.33,411,36.17,72.34,177.55,32.88,9.86,328.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,50,D,HR87FASF0500,WDERP,453.2,97.4,355.8,658.8,292.5,366.3,100,LOT,36.41,72.82,178.74,33.1,9.93,331,29.13,58.26,142.99,26.48,7.94,264.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,50,D,HR87FASF0500,XQDDTO,457.3,230.2,227.1,840.1,394.1,446.0,73,EA,45.32,90.64,222.48,41.2,12.36,412,36.26,72.51,177.98,32.96,9.89,329.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,50,D,HR87FASF0500,JZNZWA,639.9,293.9,346.0,562.1,429.0,133.1,34,EA,34.76,69.52,170.64,31.6,9.48,316,27.81,55.62,136.51,25.28,7.58,252.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,60,D,HR87FASF0600,XQDDTO,326.0,112.6,213.4,563.7,325.7,238.0,30,TON,14.63,29.26,71.82,13.3,3.99,133,11.7,23.41,57.46,10.64,3.19,106.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,60,D,HR87FASF0600,JZNZWA,664.0,332.8,331.2,556.6,231.6,325.0,81,M,40.7,81.4,199.8,37.0,11.1,370,32.56,65.12,159.84,29.6,8.88,296.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,60,D,HR87FASF0600,PXKFZNC,487.9,220.1,267.8,722.5,309.1,413.4,19,EA,104.06,208.12,510.84,94.6,28.38,946,83.25,166.5,408.67,75.68,22.7,756.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,60,D,HR87FASF0600,GFYWIR,441.0,73.9,367.1,667.7,288.0,379.7,57,EA,43.45,86.9,213.3,39.5,11.85,395,34.76,69.52,170.64,31.6,9.48,316.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,70,D,HR87FASF0700,PXKFZNC,148.1,82.2,65.9,401.7,222.8,178.9,4,EA,39.16,78.32,192.24,35.6,10.68,356,31.33,62.66,153.79,28.48,8.54,284.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,70,D,HR87FASF0700,WDERP,461.3,141.6,319.7,679.0,394.2,284.8,98,TON,13.31,26.62,65.34,12.1,3.63,121,10.65,21.3,52.27,9.68,2.9,96.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,70,D,HR87FASF0700,XQDDTO,635.7,280.5,355.2,377.7,120.1,257.6,36,M,60.72,121.44,298.08,55.2,16.56,552,48.58,97.15,238.46,44.16,13.25,441.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,70,D,HR87FASF0700,JZNZWA,673.2,448.8,224.4,813.3,375.7,437.6,45,LOT,63.91,127.82,313.74,58.1,17.43,581,51.13,102.26,250.99,46.48,13.94,464.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R87FA,70,D,HR87FASF0700,GFYWIR,501.4,183.3,318.1,575.0,393.1,181.9,64,TON,89.1,178.2,437.4,81.0,24.3,810,71.28,142.56,349.92,64.8,19.44,648.0,SN1409_R87FA_dummy.xlsx
SN1409,R47AC,R479H,30,D,HR479HSF0300,GDHWM,624.7,396.1,228.6,426.7,243.7,183.0,70,LOT,96.91,193.82,475.74,88.1,26.43,881,77.53,155.06,380.59,70.48,21.14,704.8,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,30,D,HR479HSF0300,DUWVAW,410.8,232.1,178.7,454.5,125.5,329.0,50,M,75.35,150.7,369.9,68.5,20.55,685,60.28,120.56,295.92,54.8,16.44,548.0,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,30,D,HR479HSF0300,KEJTQT,606.7,392.4,214.3,416.5,177.3,239.2,49,LOT,102.3,204.6,502.2,93.0,27.9,930,81.84,163.68,401.76,74.4,22.32,744.0,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,30,D,HR479HSF0300,KFVCYQE,812.4,445.4,367.0,421.6,310.8,110.8,17,TON,15.07,30.14,73.98,13.7,4.11,137,12.06,24.11,59.18,10.96,3.29,109.6,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,30,D,HR479HSF0300,ZPGEO,797.6,397.9,399.7,486.5,226.1,260.4,2,M,62.37,124.74,306.18,56.7,17.01,567,49.9,99.79,244.94,45.36,13.61,453.6,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,40,D,HR479HSF0400,KEJTQT,508.3,299.3,209.0,263.5,82.1,181.4,69,LOT,86.9,173.8,426.6,79.0,23.7,790,69.52,139.04,341.28,63.2,18.96,632.0,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,40,D,HR479HSF0400,DUWVAW,732.4,431.7,300.7,650.2,405.0,245.2,5,EA,71.94,143.88,353.16,65.4,19.62,654,57.55,115.1,282.53,52.32,15.7,523.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,40,D,HR479HSF0400,KFVCYQE,467.7,143.9,323.8,306.0,165.0,141.0,56,EA,21.12,42.24,103.68,19.2,5.76,192,16.9,33.79,82.94,15.36,4.61,153.6,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,40,D,HR479HSF0400,GDHWM,685.7,354.1,331.6,206.7,90.2,116.5,4,EA,44.66,89.32,219.24,40.6,12.18,406,35.73,71.46,175.39,32.48,9.74,324.8,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R479H,40,D,HR479HSF0400,ZPGEO,252.1,179.7,72.4,415.7,193.4,222.3,68,LOT,38.5,77.0,189.0,35.0,10.5,350,30.8,61.6,151.2,28.0,8.4,280.0,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,30,D,HR477KSF0300,KEJTQT,444.2,297.9,146.3,522.3,415.1,107.2,82,TON,62.92,125.84,308.88,57.2,17.16,572,50.34,100.67,247.1,45.76,13.73,457.6,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,30,D,HR477KSF0300,KFVCYQE,550.5,233.8,316.7,645.7,409.6,236.1,87,M,43.34,86.68,212.76,39.4,11.82,394,34.67,69.34,170.21,31.52,9.46,315.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,30,D,HR477KSF0300,DUWVAW,507.6,79.5,428.1,614.8,445.1,169.7,89,TON,58.74,117.48,288.36,53.4,16.02,534,46.99,93.98,230.69,42.72,12.82,427.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,30,D,HR477KSF0300,GDHWM,403.5,232.7,170.8,841.0,449.7,391.3,31,LOT,22.99,45.98,112.86,20.9,6.27,209,18.39,36.78,90.29,16.72,5.02,167.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,30,D,HR477KSF0300,ZPGEO,558.7,278.8,279.9,615.2,447.1,168.1,85,LOT,104.39,208.78,512.46,94.9,28.47,949,83.51,167.02,409.97,75.92,22.78,759.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,40,D,HR477KSF0400,DUWVAW,502.3,360.3,142.0,508.4,370.8,137.6,80,TON,32.34,64.68,158.76,29.4,8.82,294,25.87,51.74,127.01,23.52,7.06,235.2,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,40,D,HR477KSF0400,KFVCYQE,659.5,321.1,338.4,699.0,313.7,385.3,13,EA,81.73,163.46,401.22,74.3,22.29,743,65.38,130.77,320.98,59.44,17.83,594.4,SN1409_R47AC_dummy.xlsx
SN1409,R47AC,R477K,40,D,HR477KSF0400,GDHWM,399.9,173.6,226.3,624.7,281.8,342.9,38,TON,21.12,42.24,103.68,19.2,5.76,192,16.9,33.79,82.94,15.36,4.61,153.6,SN1409_R47AC_dummy.xlsx
